"@timestamp","process.command_line","process.executable","process.working_directory","process.pid","process.parent.pid","process.user.id"
"Nov 1, 2023 @ 23:52:29.762","sed -e /^nameserver/!b ENDOFCYCLE -e s/$/ / -e s/\([:. ]\)0\+/\10/g -e s/\([:. ]\)0\([123456789abcdefABCDEF][[:xdigit:]]*\)/\1\2/g -e /::/b ENDOFCYCLE; s/ \(0[: ]\)\+/ ::/ -e s/#.*$// /::/b ENDOFCYCLE; s/:\(0[: ]\)\+/::/ -e : ENDOFCYCLE - -e s/[[:blank:]]\+$// -e s/^[[:blank:]]\+// -e s/[[:blank:]]\+/ /g -e","/usr/bin/sed","""/run/resolvconf/interface""",1808651,1808650,0
"Nov 1, 2023 @ 23:52:29.762","mkdir -p /run/chrony-dhcp","/usr/bin/mkdir","""/""",1808655,1808643,0
"Nov 1, 2023 @ 23:52:29.762","run-parts --list /etc/dhcp/dhclient-exit-hooks.d","/usr/bin/run-parts","""/""",1808653,1808643,0
"Nov 1, 2023 @ 23:52:29.762","/bin/sh /sbin/dhclient-script","/usr/bin/dash","""/""",1808643,500,0
"Nov 1, 2023 @ 23:52:29.762","rm -f /run/chrony-dhcp/enp1s0.sources","/usr/bin/rm","""/""",1808654,1808643,0
"Nov 1, 2023 @ 23:52:29.762","/usr/bin/chronyc reload sources","/usr/bin/chronyc","""/""",1808656,1808643,0
"Nov 1, 2023 @ 23:52:29.762","/bin/sh /sbin/resolvconf -a enp1s0.dhclient","/usr/bin/dash","""/""",1808647,1808643,0
"Nov 1, 2023 @ 23:52:29.762","sed -e s/[[:blank:]]\+$// -e /^$/d","/usr/bin/sed","""/run/resolvconf/interface""",1808652,1808650,0
"Nov 1, 2023 @ 23:52:29.762","run-parts --list /etc/dhcp/dhclient-enter-hooks.d","/usr/bin/run-parts","""/""",1808644,1808643,0
"Nov 1, 2023 @ 23:52:29.762","ip -4 600 dev enp1s0 label enp1s0 addr change 192.168.1.2/255.255.255.0 broadcast 192.168.1.255 valid_lft 600 preferred_lft","/usr/bin/ip","""/""",1808645,1808643,0
"Nov 1, 2023 @ 23:52:29.762","flock -w 10 9","/usr/bin/flock","""/run/resolvconf/interface""",1808648,1808647,0
"Nov 1, 2023 @ 23:52:19.694","hostname -f","/usr/bin/hostname","""/""",1808642,672,0
"Nov 1, 2023 @ 23:51:39.644","flock -w 10 9","/usr/bin/flock","""/run/resolvconf/interface""",1808633,1808632,0
"Nov 1, 2023 @ 23:51:39.644","sed -e s/[[:blank:]]\+$// -e /^$/d","/usr/bin/sed","""/run/resolvconf/interface""",1808637,1808635,0
"Nov 1, 2023 @ 23:51:39.644","sed -e /^nameserver/!b ENDOFCYCLE -e s/$/ / -e s/\([:. ]\)0\+/\10/g -e s/\([:. ]\)0\([123456789abcdefABCDEF][[:xdigit:]]*\)/\1\2/g -e /::/b ENDOFCYCLE; s/ \(0[: ]\)\+/ ::/ -e s/#.*$// /::/b ENDOFCYCLE; s/:\(0[: ]\)\+/::/ -e : ENDOFCYCLE - -e s/[[:blank:]]\+$// -e s/^[[:blank:]]\+// -e s/[[:blank:]]\+/ /g -e","/usr/bin/sed","""/run/resolvconf/interface""",1808636,1808635,0
"Nov 1, 2023 @ 23:51:39.644","/usr/bin/chronyc reload sources","/usr/bin/chronyc","""/""",1808641,1808628,0
"Nov 1, 2023 @ 23:51:39.644","/bin/sh /sbin/dhclient-script","/usr/bin/dash","""/""",1808628,500,0
"Nov 1, 2023 @ 23:51:39.644","ip -4 600 dev enp1s0 label enp1s0 addr change 192.168.1.2/255.255.255.0 broadcast 192.168.1.255 valid_lft 600 preferred_lft","/usr/bin/ip","""/""",1808630,1808628,0
"Nov 1, 2023 @ 23:51:39.644","/bin/sh /sbin/resolvconf -a enp1s0.dhclient","/usr/bin/dash","""/""",1808632,1808628,0
"Nov 1, 2023 @ 23:51:39.644","rm -f /run/chrony-dhcp/enp1s0.sources","/usr/bin/rm","""/""",1808639,1808628,0
"Nov 1, 2023 @ 23:51:39.644","run-parts --list /etc/dhcp/dhclient-enter-hooks.d","/usr/bin/run-parts","""/""",1808629,1808628,0
"Nov 1, 2023 @ 23:51:39.644","run-parts --list /etc/dhcp/dhclient-exit-hooks.d","/usr/bin/run-parts","""/""",1808638,1808628,0
"Nov 1, 2023 @ 23:51:39.644","mkdir -p /run/chrony-dhcp","/usr/bin/mkdir","""/""",1808640,1808628,0
"Nov 1, 2023 @ 23:51:19.563","hostname -f","/usr/bin/hostname","""/""",1808626,672,0
